Data Escala de Tempo 1 DM Simp 4,Data do Incio da Semana Din Instante DM Simp 4,Data Escala de Tempo 1 DM Simp 4,Din Instante,Período Exibido DM Simp 4,Subsistema,Texto Data Incio da Semana Din Instante DM,Selecione Tipo de DM Simp 4
4/23/2000 12:00:00 AM,,4/23/2000 12:00:00 AM,4/23/2000 6:30:00 PM,Dia,Nordeste,,7009
4/24/2000 12:00:00 AM,,4/24/2000 12:00:00 AM,4/24/2000 6:00:00 PM,Dia,Nordeste,,7466
4/25/2000 12:00:00 AM,,4/25/2000 12:00:00 AM,4/25/2000 6:15:00 PM,Dia,Nordeste,,7405
4/26/2000 12:00:00 AM,,4/26/2000 12:00:00 AM,4/26/2000 6:15:00 PM,Dia,Nordeste,,7391
4/27/2000 12:00:00 AM,,4/27/2000 12:00:00 AM,4/27/2000 6:21:00 PM,Dia,Nordeste,,7499
4/28/2000 12:00:00 AM,,4/28/2000 12:00:00 AM,4/28/2000 6:28:00 PM,Dia,Nordeste,,7438
4/29/2000 12:00:00 AM,,4/29/2000 12:00:00 AM,4/29/2000 6:15:00 PM,Dia,Nordeste,,7265
4/30/2000 12:00:00 AM,,4/30/2000 12:00:00 AM,4/30/2000 6:31:00 PM,Dia,Nordeste,,6972
5/1/2000 12:00:00 AM,,5/1/2000 12:00:00 AM,5/1/2000 6:21:00 PM,Dia,Nordeste,,6436
5/2/2000 12:00:00 AM,,5/2/2000 12:00:00 AM,5/2/2000 6:06:00 PM,Dia,Nordeste,,7434
5/3/2000 12:00:00 AM,,5/3/2000 12:00:00 AM,5/3/2000 6:13:00 PM,Dia,Nordeste,,7530
5/4/2000 12:00:00 AM,,5/4/2000 12:00:00 AM,5/4/2000 6:20:00 PM,Dia,Nordeste,,7403
5/5/2000 12:00:00 AM,,5/5/2000 12:00:00 AM,5/5/2000 6:15:00 PM,Dia,Nordeste,,7399
5/6/2000 12:00:00 AM,,5/6/2000 12:00:00 AM,5/6/2000 6:27:00 PM,Dia,Nordeste,,7358
5/7/2000 12:00:00 AM,,5/7/2000 12:00:00 AM,5/7/2000 6:25:00 PM,Dia,Nordeste,,7115
5/8/2000 12:00:00 AM,,5/8/2000 12:00:00 AM,5/8/2000 6:12:00 PM,Dia,Nordeste,,7613
5/9/2000 12:00:00 AM,,5/9/2000 12:00:00 AM,5/9/2000 6:16:00 PM,Dia,Nordeste,,7634
5/10/2000 12:00:00 AM,,5/10/2000 12:00:00 AM,5/10/2000 6:10:00 PM,Dia,Nordeste,,7624
5/11/2000 12:00:00 AM,,5/11/2000 12:00:00 AM,5/11/2000 6:11:00 PM,Dia,Nordeste,,7616
5/12/2000 12:00:00 AM,,5/12/2000 12:00:00 AM,5/12/2000 6:12:00 PM,Dia,Nordeste,,7557
5/13/2000 12:00:00 AM,,5/13/2000 12:00:00 AM,5/13/2000 6:40:00 PM,Dia,Nordeste,,7237
5/14/2000 12:00:00 AM,,5/14/2000 12:00:00 AM,5/14/2000 6:42:00 PM,Dia,Nordeste,,6631
5/15/2000 12:00:00 AM,,5/15/2000 12:00:00 AM,5/15/2000 6:05:00 PM,Dia,Nordeste,,7439
5/16/2000 12:00:00 AM,,5/16/2000 12:00:00 AM,5/16/2000 6:27:00 PM,Dia,Nordeste,,7405
5/17/2000 12:00:00 AM,,5/17/2000 12:00:00 AM,5/17/2000 6:09:00 PM,Dia,Nordeste,,7524
