index,value
2016-09-18,286
2016-09-19,318
2016-09-20,340
2016-09-21,324
2016-09-22,297
2016-09-23,270
2016-09-24,269
2016-09-25,318
2016-09-26,394
2016-09-27,443
2016-09-28,460
2016-09-29,425
2016-09-30,420
2016-10-01,395
2016-10-02,383
2016-10-03,388
2016-10-04,388
2016-10-05,391
2016-10-06,359
2016-10-07,347
2016-10-08,370
2016-10-09,408
2016-10-10,446
2016-10-11,455
2016-10-12,460
2016-10-13,458
2016-10-14,440
2016-10-15,432
2016-10-16,408
2016-10-17,409
2016-10-18,399
2016-10-19,396
2016-10-20,383
2016-10-21,377
2016-10-22,365
2016-10-23,352
2016-10-24,328
2016-10-25,328
2016-10-26,328
2016-10-27,330
2016-10-28,332
2016-10-29,338
2016-10-30,336
2016-10-31,333
2016-11-01,339
2016-11-02,371
2016-11-03,379
2016-11-04,368
2016-11-05,331
2016-11-06,310
2016-11-07,295
2016-11-08,296
2016-11-09,289
2016-11-10,297
2016-11-11,289
2016-11-12,292
2016-11-13,281
2016-11-14,292
2016-11-15,312
2016-11-16,335
2016-11-17,357
2016-11-18,368
2016-11-19,391
2016-11-20,413
2016-11-21,433
2016-11-22,476
2016-11-23,524
2016-11-24,575
2016-11-25,590
2016-11-26,578
2016-11-27,546
2016-11-28,506
2016-11-29,482
2016-11-30,460
2016-12-01,449
2016-12-02,423
2016-12-03,410
2016-12-04,395
2016-12-05,395
2016-12-06,388
2016-12-07,381
2016-12-08,375
2016-12-09,374
2016-12-10,408
2016-12-11,475
2016-12-12,546
2016-12-13,604
2016-12-14,625
2016-12-15,641
2016-12-16,640
2016-12-17,658
2016-12-18,694
2016-12-19,722
2016-12-20,726
2016-12-21,696
2016-12-22,638
2016-12-23,588
2016-12-24,577
2016-12-25,587
2016-12-26,587
2016-12-27,548
2016-12-28,524
2016-12-29,509
2016-12-30,508
2016-12-31,493
2017-01-01,482
2017-01-02,458
2017-01-03,435
2017-01-04,407
2017-01-05,384
2017-01-06,357
2017-01-07,338
2017-01-08,322
2017-01-09,338
2017-01-10,361
2017-01-11,408
2017-01-12,447
2017-01-13,499
2017-01-14,536
2017-01-15,569
2017-01-16,573
2017-01-17,541
2017-01-18,486
2017-01-19,426
2017-01-20,395
2017-01-21,383
2017-01-22,394
2017-01-23,417
2017-01-24,457
2017-01-25,495
2017-01-26,533
2017-01-27,551
2017-01-28,563
2017-01-29,558
2017-01-30,555
2017-01-31,538
2017-02-01,525
2017-02-02,516
2017-02-03,508
2017-02-04,503
2017-02-05,484
2017-02-06,461
2017-02-07,447
2017-02-08,452
2017-02-09,476
2017-02-10,503
2017-02-11,533
2017-02-12,549
2017-02-13,545
2017-02-14,539
2017-02-15,536
2017-02-16,557
2017-02-17,566
2017-02-18,586
2017-02-19,605
2017-02-20,626
2017-02-21,648
2017-02-22,652
2017-02-23,657
2017-02-24,632
2017-02-25,586
2017-02-26,527
2017-02-27,489
2017-02-28,463
2017-03-01,444
2017-03-02,426
2017-03-03,418
2017-03-04,429
2017-03-05,444
2017-03-06,498
2017-03-07,558
2017-03-08,632
2017-03-09,685
2017-03-10,728
2017-03-11,737
2017-03-12,704
2017-03-13,620
2017-03-14,549
2017-03-15,538
2017-03-16,584
2017-03-17,659
2017-03-18,688
2017-03-19,681
2017-03-20,659
2017-03-21,666
2017-03-22,703
2017-03-23,842
2017-03-24,758
2017-03-25,995
2017-03-26,1114
2017-03-27,800
2017-03-28,927
2017-03-29,846
2017-03-30,804
2017-03-31,747
2017-04-01,705
2017-04-02,647
2017-04-03,593
2017-04-04,545
2017-04-05,504
2017-04-06,470
2017-04-07,439
2017-04-08,424
2017-04-09,410
2017-04-10,408
2017-04-11,406
2017-04-12,401
2017-04-13,384
2017-04-14,366
2017-04-15,356
2017-04-16,352
2017-04-17,356
2017-04-18,356
2017-04-19,361
2017-04-20,362
2017-04-21,363
2017-04-22,362
2017-04-23,358
2017-04-24,357
2017-04-25,374
2017-04-26,393
2017-04-27,403
2017-04-28,395
2017-04-29,387
2017-04-30,384
2017-05-01,375
2017-05-02,366
2017-05-03,358
2017-05-04,346
2017-05-05,338
2017-05-06,323
2017-05-07,322
2017-05-08,321
2017-05-09,329
2017-05-10,320
2017-05-11,310
2017-05-12,298
2017-05-13,304
2017-05-14,309
2017-05-15,318
2017-05-16,322
2017-05-17,346
2017-05-18,356
2017-05-19,359
2017-05-20,348
2017-05-21,341
2017-05-22,321
2017-05-23,302
2017-05-24,282
2017-05-25,275
2017-05-26,269
2017-05-27,283
2017-05-28,302
2017-05-29,301
2017-05-30,285
2017-05-31,269
2017-06-01,272
2017-06-02,279
2017-06-03,279
2017-06-04,276
2017-06-05,271
2017-06-06,287
2017-06-07,302
2017-06-08,302
2017-06-09,290
2017-06-10,284
2017-06-11,292
2017-06-12,285
2017-06-13,278
2017-06-14,268
2017-06-15,259
2017-06-16,246
2017-06-17,246
2017-06-18,258
2017-06-19,270
2017-06-20,275
2017-06-21,276
2017-06-22,268
2017-06-23,262
2017-06-24,256
2017-06-25,261
2017-06-26,260
2017-06-27,262
2017-06-28,258
2017-06-29,260
2017-06-30,253
2017-07-01,248
2017-07-02,239
2017-07-03,238
2017-07-04,245
2017-07-05,254
2017-07-06,264
2017-07-07,256
2017-07-08,254
2017-07-09,242
2017-07-10,242
2017-07-11,237
2017-07-12,240
2017-07-13,237
2017-07-14,236
2017-07-15,241
2017-07-16,241
2017-07-17,236
2017-07-18,228
2017-07-19,232
2017-07-20,236
2017-07-21,249
2017-07-22,255
2017-07-23,262
2017-07-24,252
2017-07-25,246
2017-07-26,236
2017-07-27,236
2017-07-28,229
2017-07-29,228
2017-07-30,224
2017-07-31,243
2017-08-01,253
2017-08-02,253
2017-08-03,235
2017-08-04,233
2017-08-05,241
2017-08-06,247
2017-08-07,232
2017-08-08,218
2017-08-09,214
2017-08-10,214
2017-08-11,220
2017-08-12,222
2017-08-13,226
2017-08-14,223
2017-08-15,220
2017-08-16,225
2017-08-17,226
2017-08-18,225
2017-08-19,216
2017-08-20,214
2017-08-21,209
2017-08-22,221
2017-08-23,232
2017-08-24,240
2017-08-25,240
2017-08-26,234
2017-08-27,222
2017-08-28,211
2017-08-29,205
2017-08-30,217
2017-08-31,215
2017-09-01,217
2017-09-02,209
2017-09-03,211
2017-09-04,205
2017-09-05,205
2017-09-06,207
2017-09-07,215
2017-09-08,219
2017-09-09,218
2017-09-10,213
2017-09-11,209
2017-09-12,207
2017-09-13,213
2017-09-14,219
2017-09-15,236
2017-09-16,234
2017-09-17,225
2017-09-18,208
2017-09-19,200
2017-09-20,196
2017-09-21,192
2017-09-22,190
2017-09-23,193
2017-09-24,209
2017-09-25,214
2017-09-26,218
2017-09-27,206
2017-09-28,207
2017-09-29,205
2017-09-30,207
2017-10-01,219
2017-10-02,245
2017-10-03,267
2017-10-04,284
2017-10-05,310
2017-10-06,344
2017-10-07,370
2017-10-08,369
2017-10-09,348
2017-10-10,334
2017-10-11,330
2017-10-12,353
2017-10-13,376
2017-10-14,412
2017-10-15,428
2017-10-16,442
2017-10-17,414
2017-10-18,378
2017-10-19,340
2017-10-20,314
2017-10-21,294
2017-10-22,273
2017-10-23,261
2017-10-24,257
2017-10-25,257
2017-10-26,257
2017-10-27,263
2017-10-28,278
2017-10-29,293
2017-10-30,300
2017-10-31,293
2017-11-01,285
2017-11-02,296
2017-11-03,312
2017-11-04,354
2017-11-05,393
2017-11-06,424
2017-11-07,416
2017-11-08,384
2017-11-09,359
2017-11-10,349
2017-11-11,356
2017-11-12,378
2017-11-13,403
2017-11-14,412
2017-11-15,400
2017-11-16,385
2017-11-17,378
2017-11-18,371
2017-11-19,353
2017-11-20,327
2017-11-21,309
2017-11-22,308
2017-11-23,339
2017-11-24,380
2017-11-25,432
2017-11-26,454
2017-11-27,446
2017-11-28,430
2017-11-29,438
2017-11-30,466
2017-12-01,490
2017-12-02,487
2017-12-03,463
2017-12-04,435
2017-12-05,402
2017-12-06,377
2017-12-07,348
2017-12-08,335
2017-12-09,331
2017-12-10,321
2017-12-11,309
2017-12-12,299
2017-12-13,304
2017-12-14,328
2017-12-15,363
2017-12-16,394
2017-12-17,432
2017-12-18,476
2017-12-19,503
2017-12-20,516
2017-12-21,521
2017-12-22,517
2017-12-23,513
2017-12-24,502
2017-12-25,487
2017-12-26,456
2017-12-27,432
2017-12-28,432
2017-12-29,457
2017-12-30,489
2017-12-31,502
2018-01-01,505
2018-01-02,503
2018-01-03,499
2018-01-04,486
2018-01-05,470
2018-01-06,452
2018-01-07,451
2018-01-08,465
2018-01-09,493
2018-01-10,528
2018-01-11,552
2018-01-12,565
2018-01-13,555
2018-01-14,542
2018-01-15,521
2018-01-16,514
2018-01-17,517
2018-01-18,553
2018-01-19,599
2018-01-20,628
2018-01-21,630
2018-01-22,624
2018-01-23,623
2018-01-24,642
2018-01-25,659
2018-01-26,675
2018-01-27,670
2018-01-28,663
2018-01-29,662
2018-01-30,663
2018-01-31,667
2018-02-01,670
2018-02-02,690
2018-02-03,725
2018-02-04,755
2018-02-05,753
2018-02-06,709
2018-02-07,673
2018-02-08,682
2018-02-09,741
2018-02-10,822
2018-02-11,903
2018-02-12,1065
2018-02-13,1203
2018-02-14,1263
2018-02-15,1255
2018-02-16,1205
2018-02-17,1354
2018-02-18,1399
2018-02-19,1318
2018-02-20,1133
2018-02-21,1004
2018-02-22,918
2018-02-23,861
2018-02-24,805
2018-02-25,771
2018-02-26,850
2018-02-27,1142
2018-02-28,1158
2018-03-01,1088
2018-03-02,955
2018-03-03,920
2018-03-04,886
2018-03-05,844
2018-03-06,657
2018-03-07,681
2018-03-08,693
2018-03-09,681
2018-03-10,681
2018-03-11,683
2018-03-12,697
2018-03-13,699
2018-03-14,703
2018-03-15,701
2018-03-16,690
2018-03-17,674
2018-03-18,649
2018-03-19,603
2018-03-20,557
2018-03-21,527
2018-03-22,542
2018-03-23,565
2018-03-24,579
2018-03-25,594
2018-03-26,598
2018-03-27,619
2018-03-28,624
2018-03-29,630
2018-03-30,619
2018-03-31,604
2018-04-01,574
2018-04-02,558
2018-04-03,545
2018-04-04,553
2018-04-05,574
2018-04-06,568
2018-04-07,546
2018-04-08,511
2018-04-09,500
2018-04-10,493
2018-04-11,482
2018-04-12,466
2018-04-13,467
2018-04-14,468
2018-04-15,473
2018-04-16,464
2018-04-17,457
2018-04-18,458
2018-04-19,457
2018-04-20,448
2018-04-21,444
2018-04-22,442
2018-04-23,432
2018-04-24,422
2018-04-25,410
2018-04-26,405
2018-04-27,401
2018-04-28,403
2018-04-29,402
2018-04-30,384
2018-05-01,371
2018-05-02,375
2018-05-03,402
2018-05-04,422
2018-05-05,437
2018-05-06,431
2018-05-07,432
2018-05-08,415
2018-05-09,402
2018-05-10,389
2018-05-11,379
2018-05-12,379
2018-05-13,370
2018-05-14,363
2018-05-15,354
2018-05-16,347
2018-05-17,347
2018-05-18,345
2018-05-19,336
2018-05-20,336
2018-05-21,320
2018-05-22,325
2018-05-23,321
2018-05-24,326
2018-05-25,325
2018-05-26,307
2018-05-27,305
2018-05-28,301
2018-05-29,309
2018-05-30,305
2018-05-31,298
2018-06-01,296
2018-06-02,296
2018-06-03,304
2018-06-04,312
2018-06-05,302
2018-06-06,301
2018-06-07,298
2018-06-08,302
2018-06-09,301
2018-06-10,293
2018-06-11,304
2018-06-12,295
2018-06-13,296
2018-06-14,283
2018-06-15,284
2018-06-16,293
2018-06-17,297
2018-06-18,295
2018-06-19,292
